number; name; kill_chain_phases; platforms;Technologies;Additions;CVSS_Exp;PR_V;AC_V;UI_V;AV_V;id
81;System Network Connections Discovery; ['discovery']; ['Android'];['Apps'];['Cell'];1,83457659;0,62;0,77;0,85;0,55;T1421
82;Uncommonly Used Port; ['command-and-control']; ['Android', 'iOS'];['Apps'];['Cell'];2,83525473;0,62;0,77;0,85;0,85;T1509
83;Uninstall Malicious Application; ['defense-evasion']; ['Android'];['Apps'];['Cell'];2,83525473;0,62;0,77;0,85;0,85;T1576
84;URI Hijacking; ['credential-access']; ['Android', 'iOS'];['Apps'];['Cell'];1,83457659;0,62;0,77;0,85;0,55;T1416
85;Web Service; ['command-and-control']; ['Android', 'iOS'];['Apps'];['Cell'];2,83525473;0,62;0,77;0,85;0,85;T1481
86;Call Control; ['collection', 'impact', 'command-and-control']; ['Android'];['Apps'];['Cell'];1,83457659;0,62;0,77;0,85;0,55;T1616
87;Command-Line Interface; ['execution']; ['Android', 'iOS'];['Any','Apps'];['Cell','Wi-Fi','Cell','GPS',Bluetooth','USB','RTK','Radio'];0,45653058;0,27;0,44;0,85;0,55;T1605
88;Device Administrator Permissions; ['privilege-escalation']; ['Android'];['Apps'];['Cell'];1,338161748;0,62;0,77;0,62;0,55;T1401
89;Hooking; ['defense-evasion']; ['Android'];['Apps'];['Cell'];0,45653058;0,27;0,44;0,85;0,55;T1617
90;Proxy Through Victim; ['defense-evasion']; ['Android'];['Apps'];['Cell'];1,83457659;0,62;0,77;0,85;0,55;T1604
91;Scheduled Task/Job; ['execution', 'persistence']; ['Android', 'iOS'];['Apps'];['Cell'];1,83457659;0,62;0,77;0,85;0,55;T1603
92;User Evasion; ['defense-evasion']; ['Android'];['Apps'];['Cell'];2,515145325;0,85;0,77;0,85;0,55;T1618
