SN;matrix;technique;Mitigation;Efficiency
113;ICS;Wireless Compromise;Encrypt Network Traffic;0.5
114;ICS;Data from Information Repositories;Encrypt Sensitive Information;0.5
115;ICS;Engineering Workstation Compromise;Encrypt Sensitive Information;0.5
116;ICS;Location Identification;Encrypt Sensitive Information;0.5
117;ICS;Module Firmware;Encrypt Sensitive Information;0.5
118;ICS;Project File Infection;Encrypt Sensitive Information;0.5
119;ICS;System Firmware;Encrypt Sensitive Information;0.5
120;ICS;Theft of Operational Information;Encrypt Sensitive Information;0.5
121;ICS;Command-Line Interface;Execution Prevention;0.5
122;ICS;Execution through API;Execution Prevention;0.5
123;ICS;Masquerading;Execution Prevention;0.5
124;ICS;Scripting;Execution Prevention;0.5
125;ICS;User Execution;Execution Prevention;0.5
126;ICS;Drive-by Compromise;Exploit Protection;0.5
127;ICS;Exploit Public-Facing Application;Exploit Protection;0.5
128;ICS;Exploitation for Evasion;Exploit Protection;0.5
129;ICS;Exploitation of Remote Services;Exploit Protection;0.5
130;ICS;Activate Firmware Update Mode;Filter Network Traffic;0.5
131;ICS;Brute Force I/O;Filter Network Traffic;0.5
132;ICS;Change Program State;Filter Network Traffic;0.5
133;ICS;Connection Proxy;Filter Network Traffic;0.5
134;ICS;Control Device Identification;Filter Network Traffic;0.5
135;ICS;Data Historian Compromise;Filter Network Traffic;0.5
136;ICS;Detect Operating Mode;Filter Network Traffic;0.5
137;ICS;Detect Program State;Filter Network Traffic;0.5
138;ICS;Device Restart/Shutdown;Filter Network Traffic;0.5
139;ICS;Engineering Workstation Compromise;Filter Network Traffic;0.5
140;ICS;Location Identification;Filter Network Traffic;0.5
141;ICS;Man in the Middle;Filter Network Traffic;0.5
142;ICS;Module Firmware;Filter Network Traffic;0.5
143;ICS;Point & Tag Identification;Filter Network Traffic;0.5
144;ICS;Program Download;Filter Network Traffic;0.5
145;ICS;Program Upload;Filter Network Traffic;0.5
146;ICS;Rogue Master Device;Filter Network Traffic;0.5
147;ICS;Role Identification;Filter Network Traffic;0.5
148;ICS;Spoof Reporting Message;Filter Network Traffic;0.5
149;ICS;System Firmware;Filter Network Traffic;0.5
150;ICS;Unauthorized Command Message;Filter Network Traffic;0.5
151;ICS;Valid Accounts;Filter Network Traffic;0.5
152;ICS;Activate Firmware Update Mode;Human User Authentication;0.5
153;ICS;Change Program State;Human User Authentication;0.5
154;ICS;Commonly Used Port;Human User Authentication;0.5
155;ICS;Data Historian Compromise;Human User Authentication;0.5
156;ICS;Detect Operating Mode;Human User Authentication;0.5
157;ICS;Detect Program State;Human User Authentication;0.5
158;ICS;Device Restart/Shutdown;Human User Authentication;0.5
159;ICS;Execution through API;Human User Authentication;0.5
160;ICS;Location Identification;Human User Authentication;0.5
161;ICS;Modify Alarm Settings;Human User Authentication;0.5
162;ICS;Module Firmware;Human User Authentication;0.5
163;ICS;Point & Tag Identification;Human User Authentication;0.5
164;ICS;Program Download;Human User Authentication;0.5
165;ICS;Program Upload;Human User Authentication;0.5
166;ICS;System Firmware;Human User Authentication;0.5
167;ICS;Utilize/Change Operating Mode;Human User Authentication;0.5
168;ICS;External Remote Services;Limit Access to Resource Over Network;0.5
169;ICS;Man in the Middle;Limit Access to Resource Over Network;0.5
170;ICS;Engineering Workstation Compromise;Limit Hardware Installation;0.5
171;ICS;Replication Through Removable Media;Limit Hardware Installation;0.5
172;ICS;Damage to Property;Mechanical Protection Layers;0.5
173;ICS;Loss of Safety;Mechanical Protection Layers;0.5
174;ICS;Wireless Compromise;Minimize Wireless Signal Propagation;0.5
175;ICS;Graphical User Interface;Mitigation Limited or Not Effective;0.5
176;ICS;I/O Image;Mitigation Limited or Not Effective;0.5
177;ICS;I/O Module Discovery;Mitigation Limited or Not Effective;0.5
178;ICS;Manipulate I/O Image;Mitigation Limited or Not Effective;0.5
179;ICS;Monitor Process State;Mitigation Limited or Not Effective;0.5
180;ICS;Network Connection Enumeration;Mitigation Limited or Not Effective;0.5
181;ICS;Screen Capture;Mitigation Limited or Not Effective;0.5
182;ICS;Serial Connection Enumeration;Mitigation Limited or Not Effective;0.5
183;ICS;External Remote Services;Multi-factor Authentication;0.5
184;ICS;Network Sniffing;Multi-factor Authentication;0.5
185;ICS;Valid Accounts;Multi-factor Authentication;0.5
186;ICS;Activate Firmware Update Mode;Network Allowlists;0.5
187;ICS;Alarm Suppression;Network Allowlists;0.5
188;ICS;Automated Collection;Network Allowlists;0.5
189;ICS;Block Command Message;Network Allowlists;0.5
190;ICS;Block Reporting Message;Network Allowlists;0.5
191;ICS;Block Serial COM;Network Allowlists;0.5
192;ICS;Brute Force I/O;Network Allowlists;0.5
193;ICS;Change Program State;Network Allowlists;0.5
194;ICS;Connection Proxy;Network Allowlists;0.5
195;ICS;Control Device Identification;Network Allowlists;0.5
196;ICS;Damage to Property;Network Allowlists;0.5
197;ICS;Data Historian Compromise;Network Allowlists;0.5
198;ICS;Detect Operating Mode;Network Allowlists;0.5
199;ICS;Detect Program State;Network Allowlists;0.5
200;ICS;Device Restart/Shutdown;Network Allowlists;0.5
201;ICS;Engineering Workstation Compromise;Network Allowlists;0.5
202;ICS;Location Identification;Network Allowlists;0.5
203;ICS;Modify Alarm Settings;Network Allowlists;0.5
204;ICS;Module Firmware;Network Allowlists;0.5
205;ICS;Point & Tag Identification;Network Allowlists;0.5
206;ICS;Program Download;Network Allowlists;0.5
207;ICS;Program Upload;Network Allowlists;0.5
208;ICS;Rogue Master Device;Network Allowlists;0.5
209;ICS;Role Identification;Network Allowlists;0.5
210;ICS;Spoof Reporting Message;Network Allowlists;0.5
211;ICS;Standard Application Layer Protocol;Network Allowlists;0.5
212;ICS;System Firmware;Network Allowlists;0.5
213;ICS;Unauthorized Command Message;Network Allowlists;0.5
214;ICS;Utilize/Change Operating Mode;Network Allowlists;0.5
215;ICS;Commonly Used Port;Network Intrusion Prevention;0.5
216;ICS;Connection Proxy;Network Intrusion Prevention;0.5
217;ICS;Man in the Middle;Network Intrusion Prevention;0.5
218;ICS;Network Service Scanning;Network Intrusion Prevention;0.5
219;ICS;Remote File Copy;Network Intrusion Prevention;0.5
220;ICS;Spearphishing Attachment;Network Intrusion Prevention;0.5
221;ICS;Standard Application Layer Protocol;Network Intrusion Prevention;0.5
222;ICS;User Execution;Network Intrusion Prevention;0.5
223;ICS;Activate Firmware Update Mode;Network Segmentation;0.5
224;ICS;Alarm Suppression;Network Segmentation;0.5
225;ICS;Automated Collection;Network Segmentation;0.5
226;ICS;Block Serial COM;Network Segmentation;0.5
227;ICS;Brute Force I/O;Network Segmentation;0.5
228;ICS;Change Program State;Network Segmentation;0.5
229;ICS;Commonly Used Port;Network Segmentation;0.5
230;ICS;Control Device Identification;Network Segmentation;0.5
231;ICS;Data Historian Compromise;Network Segmentation;0.5
232;ICS;Detect Operating Mode;Network Segmentation;0.5
233;ICS;Detect Program State;Network Segmentation;0.5
234;ICS;Device Restart/Shutdown;Network Segmentation;0.5
235;ICS;Engineering Workstation Compromise;Network Segmentation;0.5
236;ICS;Exploit Public-Facing Application;Network Segmentation;0.5
237;ICS;Exploitation of Remote Services;Network Segmentation;0.5
238;ICS;External Remote Services;Network Segmentation;0.5
239;ICS;Internet Accessible Device;Network Segmentation;0.5
240;ICS;Man in the Middle;Network Segmentation;0.5
241;ICS;Modify Alarm Settings;Network Segmentation;0.5
242;ICS;Module Firmware;Network Segmentation;0.5
243;ICS;Network Service Scanning;Network Segmentation;0.5
244;ICS;Network Sniffing;Network Segmentation;0.5
245;ICS;Point & Tag Identification;Network Segmentation;0.5
246;ICS;Program Download;Network Segmentation;0.5
247;ICS;Program Upload;Network Segmentation;0.5
248;ICS;Rogue Master Device;Network Segmentation;0.5
249;ICS;Role Identification;Network Segmentation;0.5
250;ICS;Service Stop;Network Segmentation;0.5
251;ICS;Spoof Reporting Message;Network Segmentation;0.5
252;ICS;Standard Application Layer Protocol;Network Segmentation;0.5
253;ICS;System Firmware;Network Segmentation;0.5
254;ICS;Unauthorized Command Message;Network Segmentation;0.5
255;ICS;Utilize/Change Operating Mode;Network Segmentation;0.5
256;ICS;Replication Through Removable Media;Operating System Configuration;0.5
257;ICS;Location Identification;Operational Information Confidentiality;0.5
258;ICS;Theft of Operational Information;Operational Information Confidentiality;0.5
259;ICS;Alarm Suppression;Out-of-Band Communications Channel;0.5
260;ICS;Block Command Message;Out-of-Band Communications Channel;0.5
261;ICS;Block Reporting Message;Out-of-Band Communications Channel;0.5
262;ICS;Block Serial COM;Out-of-Band Communications Channel;0.5
263;ICS;Denial of Control;Out-of-Band Communications Channel;0.5
264;ICS;Denial of View;Out-of-Band Communications Channel;0.5
265;ICS;Loss of Availability;Out-of-Band Communications Channel;0.5
266;ICS;Loss of Control;Out-of-Band Communications Channel;0.5
267;ICS;Loss of View;Out-of-Band Communications Channel;0.5
268;ICS;Man in the Middle;Out-of-Band Communications Channel;0.5
269;ICS;Manipulation of Control;Out-of-Band Communications Channel;0.5
270;ICS;Manipulation of View;Out-of-Band Communications Channel;0.5
271;ICS;Default Credentials;Password Policies;0.5
272;ICS;External Remote Services;Password Policies;0.5
273;ICS;Valid Accounts;Password Policies;0.5
274;ICS;Data Destruction;Privileged Account Management;0.5
275;ICS;Data from Information Repositories;Privileged Account Management;0.5
276;ICS;Exploit Public-Facing Application;Privileged Account Management;0.5
277;ICS;Exploitation of Remote Services;Privileged Account Management;0.5
278;ICS;Network Sniffing;Privileged Account Management;0.5
279;ICS;Valid Accounts;Privileged Account Management;0.5
280;ICS;Denial of Control;Redundancy of Service;0.5
281;ICS;Denial of View;Redundancy of Service;0.5
282;ICS;Loss of Availability;Redundancy of Service;0.5
283;ICS;Loss of Control;Redundancy of Service;0.5
284;ICS;Loss of View;Redundancy of Service;0.5
285;ICS;Data Destruction;Restrict File and Directory Permissions;0.5
286;ICS;Data from Information Repositories;Restrict File and Directory Permissions;0.5
287;ICS;Indicator Removal on Host;Restrict File and Directory Permissions;0.5
288;ICS;Location Identification;Restrict File and Directory Permissions;0.5
289;ICS;Masquerading;Restrict File and Directory Permissions;0.5
290;ICS;Project File Infection;Restrict File and Directory Permissions;0.5
291;ICS;Service Stop;Restrict File and Directory Permissions;0.5
292;ICS;Theft of Operational Information;Restrict File and Directory Permissions;0.5
293;ICS;Hooking;Restrict Library Loading;0.5
294;ICS;Service Stop;Restrict Registry Permissions;0.5
295;ICS;Drive-by Compromise;Restrict Web-Based Content;0.5
296;ICS;Spearphishing Attachment;Restrict Web-Based Content;0.5
297;ICS;User Execution;Restrict Web-Based Content;0.5
298;ICS;Connection Proxy;SSL/TLS Inspection;0.5
299;ICS;Damage to Property;Safety Instrumented Systems;0.5
300;ICS;Loss of Safety;Safety Instrumented Systems;0.5
301;ICS;Data Historian Compromise;Software Configuration;0.5
302;ICS;Activate Firmware Update Mode;Software Process and Device Authentication;0.5
303;ICS;Brute Force I/O;Software Process and Device Authentication;0.5
304;ICS;Change Program State;Software Process and Device Authentication;0.5
305;ICS;Data Historian Compromise;Software Process and Device Authentication;0.5
306;ICS;Detect Operating Mode;Software Process and Device Authentication;0.5
307;ICS;Detect Program State;Software Process and Device Authentication;0.5
308;ICS;Device Restart/Shutdown;Software Process and Device Authentication;0.5
309;ICS;Location Identification;Software Process and Device Authentication;0.5
310;ICS;Man in the Middle;Software Process and Device Authentication;0.5
311;ICS;Modify Alarm Settings;Software Process and Device Authentication;0.5
312;ICS;Module Firmware;Software Process and Device Authentication;0.5
313;ICS;Point & Tag Identification;Software Process and Device Authentication;0.5
314;ICS;Program Download;Software Process and Device Authentication;0.5
315;ICS;Program Upload;Software Process and Device Authentication;0.5
316;ICS;Rogue Master Device;Software Process and Device Authentication;0.5
317;ICS;Spoof Reporting Message;Software Process and Device Authentication;0.5
318;ICS;System Firmware;Software Process and Device Authentication;0.5
319;ICS;Unauthorized Command Message;Software Process and Device Authentication;0.5
320;ICS;Utilize/Change Operating Mode;Software Process and Device Authentication;0.5
321;ICS;Wireless Compromise;Software Process and Device Authentication;0.5
322;ICS;Alarm Suppression;Static Network Configuration;0.5
323;ICS;Block Command Message;Static Network Configuration;0.5
324;ICS;Block Reporting Message;Static Network Configuration;0.5
325;ICS;Man in the Middle;Static Network Configuration;0.5
326;ICS;Network Sniffing;Static Network Configuration;0.5
327;ICS;Remote System Discovery;Static Network Configuration;0.5
328;ICS;Exploitation for Evasion;Threat Intelligence Program;0.5
329;ICS;Exploitation of Remote Services;Threat Intelligence Program;0.5
330;ICS;Drive-by Compromise;Update Software;0.5
331;ICS;Engineering Workstation Compromise;Update Software;0.5
332;ICS;Exploit Public-Facing Application;Update Software;0.5
333;ICS;Exploitation for Evasion;Update Software;0.5
334;ICS;Exploitation of Remote Services;Update Software;0.5
335;ICS;Supply Chain Compromise;Update Software;0.5
336;ICS;System Firmware;Update Software;0.5
337;ICS;Data from Information Repositories;User Account Management;0.5
338;ICS;External Remote Services;User Account Management;0.5
339;ICS;Modify Alarm Settings;User Account Management;0.5
340;ICS;Service Stop;User Account Management;0.5
341;ICS;Valid Accounts;User Account Management;0.5
342;ICS;Data from Information Repositories;User Training;0.5
343;ICS;Spearphishing Attachment;User Training;0.5
344;ICS;User Execution;User Training;0.5
345;ICS;Exploit Public-Facing Application;Vulnerability Scanning;0.5
346;ICS;Exploitation of Remote Services;Vulnerability Scanning;0.5
347;ICS;Supply Chain Compromise;Vulnerability Scanning;0.5
348;ICS;Denial of Service;Watchdog Timers;0.5
349;Mobile;Install Insecure or Malicious Configuration;Use Recent OS Version;0.5
350;Mobile;System Network Configuration Discovery;Use Recent OS Version;0.5
351;Mobile;Exploit via Charging Station or PC;Enterprise Policy;0.5
352;Mobile;Access Sensitive Data in Device Logs;Use Recent OS Version;0.5
353;Mobile;Rogue Wi-Fi Access Points;Encrypt Network Traffic;0.5
354;Mobile;Access Call Log;Use Recent OS Version;0.5
355;Mobile;Downgrade to Insecure Protocols;Encrypt Network Traffic;0.5
356;Mobile;Access Sensitive Data in Device Logs;Application Developer Guidance;0.5
357;Mobile;Network Traffic Capture or Redirection;Encrypt Network Traffic;0.5
358;Mobile;Rogue Wi-Fi Access Points;Enterprise Policy;0.5
359;Mobile;Access Stored Application Data;Use Recent OS Version;0.5
360;Mobile;File and Directory Discovery;Use Recent OS Version;0.5
361;Mobile;Manipulate Device Communication;Encrypt Network Traffic;0.5
362;Mobile;Process Discovery;Use Recent OS Version;0.5
363;Mobile;Carrier Billing Fraud;Use Recent OS Version;0.5
364;Mobile;Abuse Device Administrator Access to Prevent Removal;Use Recent OS Version;0.5
365;Mobile;Exploit SS7 to Redirect Phone Calls/SMS;Encrypt Network Traffic;0.5
366;Mobile;Delete Device Data;Caution with Device Administrator Access;0.5
367;Mobile;Modify Cached Executable Code;Use Recent OS Version;0.5
368;Mobile;Lockscreen Bypass;Enterprise Policy;0.5
369;Mobile;Deliver Malicious App via Other Means;Enterprise Policy;0.5
370;Mobile;Abuse Accessibility Features;Use Recent OS Version;0.5
371;Mobile;Exploit via Charging Station or PC;Use Recent OS Version;0.5
372;Mobile;Abuse Accessibility Features;Enterprise Policy;0.5
373;Mobile;Clipboard Modification;Use Recent OS Version;0.5
374;Mobile;Capture Clipboard Data;Use Recent OS Version;0.5
375;Mobile;Capture Camera;Use Recent OS Version;0.5
376;Mobile;Capture Audio;Use Recent OS Version;0.5
377;Mobile;Input Capture;Enterprise Policy;0.5
378;Mobile;Screen Capture;Enterprise Policy;0.5
379;Mobile;Screen Capture;Application Developer Guidance;0.5
380;Mobile;Input Injection;Enterprise Policy;0.5
381;Mobile;Access Notifications;Application Developer Guidance;0.5
382;Mobile;Access Notifications;Enterprise Policy;0.5
383;Mobile;Input Prompt;Enterprise Policy;0.5
384;Mobile;Download New Code at Runtime;Use Recent OS Version;0.5
385;Mobile;Access Call Log;Security Updates;0.5
386;Mobile;Abuse Accessibility Features;Application Vetting;0.5
387;Mobile;Abuse Device Administrator Access to Prevent Removal;Application Vetting;0.5
388;Mobile;Access Calendar Entries;Application Vetting;0.5
389;Mobile;Access Call Log;Application Vetting;0.5
390;Mobile;Capture SMS Messages;Application Vetting;0.5
391;Mobile;Process Discovery;Application Vetting;0.5
392;Mobile;Deliver Malicious App via Authorized App Store;Application Vetting;0.5
393;Mobile;Obfuscated Files or Information;Application Vetting;0.5
394;Mobile;System Network Connections Discovery;Application Vetting;0.5
395;Mobile;Access Contact List;Application Vetting;0.5
396;Mobile;System Information Discovery;Application Vetting;0.5
397;Mobile;Exploit OS Vulnerability;Application Vetting;0.5
398;Mobile;Network Traffic Capture or Redirection;Application Vetting;0.5
399;Mobile;Capture Clipboard Data;Application Vetting;0.5
400;Mobile;Download New Code at Runtime;Application Vetting;0.5
401;Mobile;Location Tracking;Application Vetting;0.5
402;Mobile;System Network Configuration Discovery;Application Vetting;0.5
403;Mobile;Application Discovery;Application Vetting;0.5
404;Mobile;Carrier Billing Fraud;Application Vetting;0.5
405;Mobile;URL Scheme Hijacking;Application Vetting;0.5
406;Mobile;URI Hijacking;Application Vetting;0.5
407;Mobile;Data Encrypted for Impact;Application Vetting;0.5
408;Mobile;Manipulate Device Communication;Application Vetting;0.5
409;Mobile;Uncommonly Used Port;Application Vetting;0.5
410;Mobile;Input Injection;Application Vetting;0.5
411;Mobile;Device Lockout;Application Vetting;0.5
412;Mobile;Input Capture;Application Vetting;0.5
413;Mobile;Capture Audio;Application Vetting;0.5
414;Mobile;Access Stored Application Data;Application Vetting;0.5
415;Mobile;Evade Analysis Environment;Application Vetting;0.5
416;Mobile;Capture Camera;Application Vetting;0.5
417;Mobile;Screen Capture;Application Vetting;0.5
418;Mobile;Clipboard Modification;Application Vetting;0.5
419;Mobile;Screen Capture;User Guidance;0.5
420;Mobile;Masquerade as Legitimate Application;User Guidance;0.5
421;Mobile;Input Injection;User Guidance;0.5
422;Mobile;Input Capture;User Guidance;0.5
423;Mobile;Attack PC via USB Connection;User Guidance;0.5
424;Mobile;Deliver Malicious App via Authorized App Store;User Guidance;0.5
425;Mobile;Deliver Malicious App via Other Means;User Guidance;0.5
426;Mobile;Obtain Device Cloud Backups;User Guidance;0.5
427;Mobile;Install Insecure or Malicious Configuration;User Guidance;0.5
428;Mobile;Exploit via Charging Station or PC;User Guidance;0.5
429;Mobile;Remotely Track Device Without Authorization;User Guidance;0.5
430;Mobile;Remotely Wipe Data Without Authorization;User Guidance;0.5
431;Mobile;Code Injection;Application Vetting;0.5
432;Mobile;Foreground Persistence;User Guidance;0.5
433;Mobile;Foreground Persistence;Application Vetting;0.5
434;Mobile;Remote File Copy;Application Vetting;0.5
435;Mobile;Broadcast Receivers;Use Recent OS Version;0.5
436;Mobile;Native Code;Application Vetting;0.5
437;Mobile;Uninstall Malicious Application;Application Vetting;0.5
438;Mobile;Uninstall Malicious Application;Attestation;0.5
439;Mobile;Uninstall Malicious Application;Security Updates;0.5
440;Mobile;Uninstall Malicious Application;User Guidance;0.5
441;Mobile;Compromise Application Executable;Application Vetting;0.5
442;Mobile;Compromise Application Executable;Security Updates;0.5
443;Mobile;Compromise Application Executable;Use Recent OS Version;0.5
444;Mobile;Keychain;Application Vetting;0.5
445;Mobile;Keychain;Security Updates;0.5
446;Mobile;Keychain;Use Recent OS Version;0.5
447;Mobile;Keychain;Deploy Compromised Device Detection Method;0.5
448;Mobile;Delete Device Data;User Guidance;0.5
449;Mobile;Delete Device Data;Application Vetting;0.5
450;Mobile;Geofencing;Application Vetting;0.5
451;Mobile;Geofencing;User Guidance;0.5
452;Mobile;SMS Control;User Guidance;0.5
453;Mobile;SMS Control;Application Vetting;0.5
454;Mobile;URI Hijacking;Application Developer Guidance;0.5
455;Mobile;URI Hijacking;Use Recent OS Version;0.5
456;Mobile;Geofencing;Use Recent OS Version;0.5
457;Enterprise;Exfiltration Over C2 Channel;Exfiltration Over Command and Control Channel Mitigation;0.5
458;Enterprise;.bash_profile and .bashrc;Restrict File and Directory Permissions;0.5
459;Enterprise;Access Token Manipulation;Privileged Account Management;0.5
460;Enterprise;Accessibility Features;Operating System Configuration;0.5
461;Enterprise;Accessibility Features;Limit Access to Resource Over Network;0.5
462;Enterprise;Account Discovery;Operating System Configuration;0.5
463;Enterprise;Account Manipulation;Privileged Account Management;0.5
464;Enterprise;Account Manipulation;Network Segmentation;0.5
465;Enterprise;Account Manipulation;Multi-factor Authentication;0.5
466;Enterprise;AppleScript;Code Signing;0.5
467;Enterprise;Application Deployment Software;Update Software;0.5
468;Enterprise;Application Deployment Software;Network Segmentation;0.5
469;Enterprise;Application Deployment Software;Code Signing;0.5
470;Enterprise;Application Shimming;User Account Control;0.5
471;Enterprise;Authentication Package;Privileged Process Integrity;0.5
472;Enterprise;Automated Collection;Remote Data Storage;0.5
473;Enterprise;Automated Collection;Encrypt Sensitive Information;0.5
474;Enterprise;BITS Jobs;Operating System Configuration;0.5
475;Enterprise;BITS Jobs;Filter Network Traffic;0.5
476;Enterprise;Bootkit;Privileged Account Management;0.5
477;Enterprise;Bootkit;Boot Integrity;0.5
478;Enterprise;Browser Extensions;User Training;0.5
479;Enterprise;Browser Extensions;Limit Software Installation;0.5
480;Enterprise;Browser Extensions;Execution Prevention;0.5
481;Enterprise;Browser Extensions;Audit;0.5
482;Enterprise;Brute Force;Password Policies;0.5
483;Enterprise;Brute Force;Multi-factor Authentication;0.5
484;Enterprise;Brute Force;Account Use Policies;0.5
485;Enterprise;Bypass User Account Control;Privileged Account Management;0.5
486;Enterprise;Bypass User Account Control;User Account Control;0.5
487;Enterprise;Clear Command History;Restrict File and Directory Permissions;0.5
488;Enterprise;Clear Command History;Environment Variable Permissions;0.5
489;Enterprise;CMSTP;Execution Prevention;0.5
490;Enterprise;CMSTP;Disable or Remove Feature or Program;0.5
491;Enterprise;Commonly Used Port;Network Intrusion Prevention;0.5
